request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_98,9788.31,affordable_later,wait,2025-09-15:27148,2025-09-15,none,"Pay ZAR 27,148 in full on 2025-09-15. Paying earlier would risk the ZAR 39,788.31 minimum."
request_99,18062.00,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062 today. This leaves at least ZAR 54,609.21 available."
request_100,31359.03,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 2024-06-13. This leaves at least ZAR 50,992.84 available."
request_101,143500.00,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 210,382.84 available."
request_102,1716.00,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 3,848.48 available."
request_103,19956.66,not_affordable,not_recommended,none,2024-11-15,none,"Do not make this payment by 2024-10-07. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204.00,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 34,022.79 available."
request_105,53500.00,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 83,387.83 available."
request_106,539.84,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,"Pay EUR 2,207.7 in full on 2025-02-15. Paying earlier would risk the EUR 1,739.84 minimum."
request_107,1345.03,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-04. None of the available options keeps the EUR 1,600 minimum protected."
request_108,4947.66,not_affordable,not_recommended,none,2026-09-15,none,"Do not make this payment by 2026-07-26. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,817.23,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 2,517.23 available."
request_110,22352.00,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06. This leaves at least ZAR 48,044.43 available."
request_111,16625000.00,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 33,667,854.85 available."
request_112,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-06-14. None of the available options keeps the EUR 500 minimum protected.
request_113,36500.00,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,"Pay INR 36,500 today. This leaves at least INR 83,169.65 available."
request_114,65300.00,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Pay INR 65,300 today. This leaves at least INR 127,074.26 available."
request_115,16371.71,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 2024-11-15. Paying earlier would risk the INR 55,171.71 minimum."
request_116,27680.16,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-16. None of the available options keeps the INR 80,300 minimum protected."
request_117,880.00,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880 today. This leaves at least EUR 1,084.01 available."
request_118,718.12,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This leaves at least EUR 1,019.31 available."
request_119,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-17. None of the available options keeps the INR 151,200 minimum protected."
request_120,7714000.00,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 22,619,480 available."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today. This leaves at least USD 963.12 available.
request_122,20558000.00,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05. This leaves at least IDR 47,588,183.25 available."
request_123,4076000.00,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 39,315,772.96 available."
request_124,1498.40,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1,076.12, starting 2024-06-11. This leaves at least EUR 2,020.36 available."
request_125,6468.00,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468 today. This leaves at least ZAR 12,477.54 available."
request_126,159600.00,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 183,262.04 available."
request_127,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-18. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,25168.00,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 46,674.81 available."
request_129,154.54,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-18. None of the available options keeps the USD 800 minimum protected.
request_130,596.07,affordable_later,wait,2024-12-15:1978.8,2024-12-15,none,"Pay USD 1,978.8 in full on 2024-12-15. Paying earlier would risk the USD 1,912.25 minimum."
request_131,1332.29,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-23,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1,652.79 available."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"Pay USD 379.86 today. This leaves at least USD 1,131.24 available."
request_133,850319.59,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-03-29. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,7343943.67,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,"Pay IDR 21,831,000 in full on 2025-09-15. Paying earlier would risk the IDR 20,839,744.09 minimum."
request_135,304.80,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 today. This leaves at least USD 567.82 available.
request_136,560.40,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,"Pay USD 560.4 today. This leaves at least USD 1,222.39 available."
request_137,36357.58,affordable_later,wait,2025-12-15:80100,2025-12-15,none,"Pay INR 80,100 in full on 2025-12-15. Paying earlier would risk the INR 95,395.38 minimum."
request_138,1090.28,affordable_with_plan,partial_payment,2026-04-07:1090.28|2026-04-15:166.66,2026-04-15,none,"Pay EUR 1,090.28 today and EUR 166.66 on 2026-04-15. This completes the EUR 1,256.94 payment by 2026-04-15 and leaves at least EUR 2,300.00 available."
request_139,1534.67,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This leaves at least USD 2,231.79 available."
request_140,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-03-04. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,33874.66,not_affordable,not_recommended,none,2026-03-15,none,"Do not make this payment by 2026-02-12. None of the available options keeps the INR 67,300 minimum protected."
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.6 today. This leaves at least USD 4,502.35 available."
request_143,4313.70,affordable_later,wait,2025-06-15:12584,2025-06-15,none,"Pay ZAR 12,584 in full on 2025-06-15. Paying earlier would risk the ZAR 14,651.78 minimum."
request_144,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-07-26. None of the available options keeps the USD 600 minimum protected.
request_145,49394.18,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,"Use 3 installments of INR 75,365.33, starting 2024-03-20. This leaves at least INR 204,794.18 available."
request_146,25072.28,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-17. None of the available options keeps the INR 108,600 minimum protected."
request_147,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-07. None of the available options keeps the EUR 900 minimum protected.
request_148,10459.85,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,"Use 3 installments of ZAR 7,710.56, starting 2024-06-14. This leaves at least ZAR 22,749.29 available."
request_149,27842.70,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12,706.03, starting 2025-11-18. This leaves at least ZAR 67,811.49 available."
request_150,380.84,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 2026-01-06. This leaves at least EUR 908.86 available."
request_151,26999000.00,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 35,463,480.53 available."
request_152,12363.42,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,"Use 3 installments of ZAR 4,812.43, starting 2025-02-12. This leaves at least ZAR 18,452.51 available."
request_153,277.65,affordable_later,wait,2026-09-15:2830.8,2026-09-15,none,"Pay USD 2,830.8 in full on 2026-09-15. Paying earlier would risk the USD 1,422.2528 minimum."
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 3,688.84 available."
request_155,36932.57,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-20. None of the available options keeps the INR 56,300 minimum protected."
request_156,12458.20,affordable_later,wait,2026-05-15:43076,2026-05-15,none,"Pay ZAR 43,076 in full on 2026-05-15. Paying earlier would risk the ZAR 29,003.62 minimum."
request_157,6968905.82,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,"Pay IDR 23,503,000 in full on 2024-04-15. Paying earlier would risk the IDR 22,357,527.34 minimum."
request_158,242600.00,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 2025-08-07. This leaves at least INR 320,050.61 available."
request_159,13398.00,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 11,672.28 available."
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1,411.56 available."
request_161,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,4603254.21,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-26. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,13194545.81,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Use 3 installments of IDR 6,692,053.33, starting 2024-09-10. This leaves at least IDR 33,231,192.48 available."
request_164,27018000.00,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 2025-02-11. This leaves at least IDR 55,766,280.07 available."
request_165,80600.00,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 120,215.95 available."
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 2024-12-03. This leaves at least USD 7,107.93 available."
request_167,43802.00,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 42,792.86 available."
request_168,42462.30,affordable_with_plan,partial_payment,2026-01-07:42462.30|2026-01-15:6917.70,2026-01-15,none,"Pay INR 42,462.30 today and INR 6,917.70 on 2026-01-15. This completes the INR 49,380 payment by 2026-01-15 and leaves at least INR 114,400.00 available."
request_169,41976.00,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 28,691.59 available."
request_170,34633492.64,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12,804,480, starting 2025-08-06. This leaves at least IDR 46,544,812.64 available."
request_171,114.07,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-10. None of the available options keeps the EUR 500 minimum protected.
request_172,10200.00,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5,304, starting 2024-06-05. This leaves at least ZAR 33,251.24 available."
request_173,70005.94,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-12-15,none,"Use 3 installments of INR 39,173.33, starting 2025-11-21. This leaves at least INR 149,105.94 available."
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 1,005.36 available."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.3 today. This leaves at least EUR 2,243.07 available."
request_176,461.95,not_affordable,not_recommended,none,2025-04-15,none,Do not make this payment by 2025-02-27. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Pay USD 1,017.6 today. This leaves at least USD 1,669.63 available."
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 2024-12-07. This leaves at least EUR 6,406.06 available."
request_179,13694869.84,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,"Pay IDR 41,648,000 in full on 2025-06-15. Paying earlier would risk the IDR 53,065,340.88 minimum."
request_180,40538.70,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-02. None of the available options keeps the INR 37,300 minimum protected."
request_181,574.57,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-07. None of the available options keeps the USD 2,000 minimum protected."
request_182,65714.00,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 43,850.76 available."
request_183,25629061.12,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9,313,546.67, starting 2026-04-10. This leaves at least IDR 28,193,814.45 available."
request_184,22773.97,not_affordable,not_recommended,none,2024-06-15,none,"Do not make this payment by 2024-07-30. None of the available options keeps the INR 110,800 minimum protected."
request_185,493.03,affordable_later,wait,2025-12-15:1257.3,2025-12-15,none,"Pay EUR 1,257.3 in full on 2025-12-15. Paying earlier would risk the EUR 1,793.03 minimum."
request_186,9103.67,affordable_later,wait,2026-02-15:26554,2026-02-15,none,"Pay ZAR 26,554 in full on 2026-02-15. Paying earlier would risk the ZAR 31,103.67 minimum."
request_187,45576.87,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Pay INR 187,500 in full on 2024-11-15. Paying earlier would risk the INR 173,876.87 minimum."
request_188,238.30,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the EUR 900 minimum protected.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.4 today. This leaves at least EUR 536.20 available.
